Label,Code
Western Cattle-Egret,Western Cattle-Egret
Great Egret,Great Egret
Great Blue Heron,Great Blue Heron
Great Blue Heron (Great Blue),Great Blue Heron (Great Blue)
American White Pelican,American White Pelican
Brown Pelican,Brown Pelican
Turkey Vulture,Turkey Vulture
Osprey,Osprey
White-tailed Kite,White-tailed Kite
Sharp-shinned Hawk,Sharp-shinned Hawk
Cooper's Hawk,Cooper's Hawk
Sharp-shinned/Cooper's Hawk,Sharp-shinned/Cooper's Hawk
Accipitrine hawk sp. (former Accipiter sp.),Accipitrine hawk sp. (former Accipiter sp.)
Northern Harrier,Northern Harrier
Bald Eagle,Bald Eagle
Red-shouldered Hawk,Red-shouldered Hawk
Red-shouldered Hawk (elegans),Red-shouldered Hawk (elegans)
Red-tailed Hawk,Red-tailed Hawk
Red-tailed Hawk (calurus/alascensis),Red-tailed Hawk (calurus/alascensis)
Buteo sp.,Buteo sp.
hawk sp.,hawk sp.
American Barn Owl,American Barn Owl
Great Horned Owl,Great Horned Owl
Belted Kingfisher,Belted Kingfisher
Red-breasted Sapsucker,Red-breasted Sapsucker
Acorn Woodpecker,Acorn Woodpecker
Downy Woodpecker,Downy Woodpecker
Nuttall's Woodpecker,Nuttall's Woodpecker
Hairy Woodpecker,Hairy Woodpecker
Northern Flicker,Northern Flicker
Northern Flicker (Red-shafted),Northern Flicker (Red-shafted)
American Kestrel,American Kestrel
Merlin,Merlin
Peregrine Falcon,Peregrine Falcon
Peregrine Falcon (North American),Peregrine Falcon (North American)
falcon sp.,falcon sp.
parrot sp.,parrot sp.
Olive-sided Flycatcher,Olive-sided Flycatcher
Western Wood-Pewee,Western Wood-Pewee
Willow Flycatcher,Willow Flycatcher
Western Flycatcher,Western Flycatcher
Western Flycatcher (Pacific-slope),Western Flycatcher (Pacific-slope)
Black Phoebe,Black Phoebe
Say's Phoebe,Say's Phoebe
Vermilion Flycatcher,Vermilion Flycatcher
Ash-throated Flycatcher,Ash-throated Flycatcher
Tropical Kingbird,Tropical Kingbird
Cassin's Kingbird,Cassin's Kingbird
Western Kingbird,Western Kingbird
Cassin's/Western Kingbird,Cassin's/Western Kingbird
yellow-bellied kingbird sp.,yellow-bellied kingbird sp.
Scissor-tailed Flycatcher,Scissor-tailed Flycatcher
Tyrannus sp.,Tyrannus sp.
Hutton's Vireo,Hutton's Vireo
Cassin's Vireo,Cassin's Vireo
Western Warbling Vireo,Western Warbling Vireo
Loggerhead Shrike,Loggerhead Shrike
California Scrub-Jay,California Scrub-Jay
American Crow,American Crow
Common Raven,Common Raven
Chestnut-backed Chickadee,Chestnut-backed Chickadee
Oak Titmouse,Oak Titmouse
Tree Swallow,Tree Swallow
Violet-green Swallow,Violet-green Swallow
Purple Martin,Purple Martin
Northern Rough-winged Swallow,Northern Rough-winged Swallow
Northern Rough-winged Swallow (Northern),Northern Rough-winged Swallow (Northern)
Barn Swallow,Barn Swallow
Barn Swallow (American),Barn Swallow (American)
Cliff Swallow,Cliff Swallow
Cliff Swallow (pyrrhonota Group),Cliff Swallow (pyrrhonota Group)
swallow sp.,swallow sp.
Bushtit,Bushtit
Bushtit (Pacific),Bushtit (Pacific)
Wrentit,Wrentit
Swinhoe's White-eye,Swinhoe's White-eye
Ruby-crowned Kinglet,Ruby-crowned Kinglet
White-breasted Nuthatch,White-breasted Nuthatch
White-breasted Nuthatch (Pacific),White-breasted Nuthatch (Pacific)
Red-breasted Nuthatch,Red-breasted Nuthatch
Brown Creeper,Brown Creeper
Blue-gray Gnatcatcher,Blue-gray Gnatcatcher
Northern House Wren,Northern House Wren
Northern House Wren (Northern),Northern House Wren (Northern)
Marsh Wren,Marsh Wren
Bewick's Wren,Bewick's Wren
Bewick's Wren (spilurus Group),Bewick's Wren (spilurus Group)
wren sp.,wren sp.
European Starling,European Starling
California Thrasher,California Thrasher
Northern Mockingbird,Northern Mockingbird
Western Bluebird,Western Bluebird
Varied Thrush,Varied Thrush
Swainson's Thrush,Swainson's Thrush
Hermit Thrush,Hermit Thrush
American Robin,American Robin
