Label,Code
Yellow-crowned Night Heron,Yellow-crowned Night Heron
Black-crowned Night Heron,Black-crowned Night Heron
Yellow-crowned/Black-crowned Night Heron,Yellow-crowned/Black-crowned Night Heron
Reddish Egret,Reddish Egret
Snowy Egret,Snowy Egret
Egretta sp.,Egretta sp.
Green Heron,Green Heron
Western Cattle-Egret,Western Cattle-Egret
Great Egret,Great Egret
Great Blue Heron,Great Blue Heron
Great Blue Heron (Great Blue),Great Blue Heron (Great Blue)
American White Pelican,American White Pelican
Brown Pelican,Brown Pelican
Turkey Vulture,Turkey Vulture
Osprey,Osprey
White-tailed Kite,White-tailed Kite
Golden Eagle,Golden Eagle
Sharp-shinned Hawk,Sharp-shinned Hawk
Cooper's Hawk,Cooper's Hawk
Sharp-shinned/Cooper's Hawk,Sharp-shinned/Cooper's Hawk
Accipitrine hawk sp. (former Accipiter sp.),Accipitrine hawk sp. (former Accipiter sp.)
Northern Harrier,Northern Harrier
Bald Eagle,Bald Eagle
Red-shouldered Hawk,Red-shouldered Hawk
Red-shouldered Hawk (elegans),Red-shouldered Hawk (elegans)
Swainson's Hawk,Swainson's Hawk
Red-tailed Hawk,Red-tailed Hawk
Red-tailed Hawk (calurus/alascensis),Red-tailed Hawk (calurus/alascensis)
Buteo sp.,Buteo sp.
hawk sp.,hawk sp.
American Barn Owl,American Barn Owl
Great Horned Owl,Great Horned Owl
Burrowing Owl,Burrowing Owl
Belted Kingfisher,Belted Kingfisher
Red-breasted Sapsucker,Red-breasted Sapsucker
sapsucker sp.,sapsucker sp.
Acorn Woodpecker,Acorn Woodpecker
Downy Woodpecker,Downy Woodpecker
Nuttall's Woodpecker,Nuttall's Woodpecker
Hairy Woodpecker,Hairy Woodpecker
Downy/Hairy Woodpecker,Downy/Hairy Woodpecker
Northern Flicker,Northern Flicker
Northern Flicker (Red-shafted),Northern Flicker (Red-shafted)
Northern Flicker (Yellow-shafted x Red-shafted),Northern Flicker (Yellow-shafted x Red-shafted)
woodpecker sp.,woodpecker sp.
American Kestrel,American Kestrel
Merlin,Merlin
Merlin (Taiga),Merlin (Taiga)
Peregrine Falcon,Peregrine Falcon
Prairie Falcon,Prairie Falcon
falcon sp.,falcon sp.
Olive-sided Flycatcher,Olive-sided Flycatcher
Western Wood-Pewee,Western Wood-Pewee
